x,y,velo
24.773188,32.974873,0
24.749643,32.888023,2.249604
24.700602,32.732372,4.079805
24.690372,32.604767,3.200407
24.74704,32.399559,5.322149
24.809793,32.199795,5.234744
24.792791,31.984779,5.392212
24.737024,31.677847,7.798936
24.722208,31.403337,6.872727
24.764904,31.182585,5.621081
24.775496,30.978527,5.108337
24.775698,30.673952,7.61437
24.724957,30.461779,5.453903
24.735594,30.155046,7.672887
24.802149,29.86508,7.437672
24.80686,29.546551,7.964099
24.738522,29.256805,7.442418
24.758278,28.904493,8.821646
24.831617,28.606369,7.675307
24.861246,28.337269,6.768153
24.797644,28.039297,7.617117
24.758274,27.703541,8.451389
24.812061,27.479626,5.757122
24.874409,27.20018,7.1579
24.882948,26.901808,7.462356
24.8416,26.623173,7.042186
24.873787,26.356127,6.724462
24.876471,26.091162,6.624436
24.892315,25.877367,5.35953
24.895205,25.599138,6.956098
24.855656,25.401327,5.043151
24.825396,25.195147,5.209746
24.808491,25.006435,4.736644
24.815001,24.794571,5.299119
24.793655,24.497644,7.442324
24.798037,24.298643,4.976229
24.789314,24.095295,5.088408
24.76239,23.925318,4.302395
24.748503,23.803967,3.05359
24.726419,23.597755,5.184739
24.707745,23.435249,4.089408
24.716063,23.302376,3.328309
24.716177,23.138313,4.101594
24.712624,23.024296,2.851796
24.701767,22.880169,3.613411
24.69239,22.708626,4.294974
24.677299,22.504574,5.11521
24.645878,22.428724,2.052496
24.640301,22.301283,3.189115
24.628544,22.110493,4.778773
24.625586,21.989155,3.03438
24.639204,21.9172,1.830768
24.622185,21.843355,1.894521
24.613146,21.75601,2.195291
24.649601,21.703588,1.596298
24.692228,21.610205,2.56632
24.757059,21.528915,2.599372
24.831375,21.398275,3.757463
24.889849,21.24551,4.089371
24.914173,21.149851,2.467589
24.973034,20.983948,4.400865
25.004578,20.919527,1.793234
25.044886,20.777349,3.694529
25.103693,20.679356,2.857134
25.117928,20.611748,1.727221
25.152479,20.531843,2.176379
25.161976,20.474848,1.444518
25.214478,20.361921,3.113391
25.232712,20.268408,2.381879
25.297417,20.067789,5.269867
25.335567,19.96352,2.775736
25.368547,19.796659,4.252202
25.409283,19.660334,3.557032
25.444811,19.583323,2.120312
25.46567,19.479916,2.637197
25.510077,19.354656,3.322464
25.540436,19.287437,1.84393
25.57703,19.190577,2.588547
25.607578,19.074991,2.988862
25.608992,18.927219,3.694461
25.624678,18.749168,4.468547
25.594625,18.663843,2.261529
25.593668,18.503345,4.012513
25.610979,18.394505,2.755262
25.646999,18.302982,2.458885
25.636206,18.217455,2.155129
25.645256,18.152498,1.639623
25.656801,18.109249,1.11907
25.647085,18.026142,2.091863
25.656715,17.938862,2.195251
25.650555,17.909094,0.759966
25.65033,17.763014,3.651967
25.658154,17.676546,2.170546
25.657722,17.621473,1.376857
25.661373,17.568907,1.317356
25.676329,17.477194,2.323091
25.689104,17.411098,1.682956
25.71414,17.38242,0.951721
25.710327,17.306761,1.893911
25.736032,17.26236,1.282631
25.76651,17.141163,3.124248
25.778307,17.063643,1.960299
25.792686,16.991894,1.829387
25.811178,16.928568,1.649274
25.81624,16.864958,1.595273
25.837086,16.805498,1.575192
25.857407,16.804804,0.508329
25.851639,16.777271,0.703296
25.869326,16.763882,0.554597
25.8529,16.754581,0.471929
25.85342,16.744841,0.24383
25.869848,16.722721,0.68883
25.892136,16.69006,0.988526
25.896801,16.642008,1.206951
25.916374,16.579882,1.62844
25.945501,16.544735,1.141166
25.948599,16.480139,1.616771
25.955902,16.429731,1.273322
25.954264,16.361574,1.704403
25.938728,16.268993,2.346896
25.93959,16.218716,1.257137
25.938261,16.161583,1.428671
25.874907,16.099567,2.216374
25.939795,16.074121,1.742468
26.14637,15.837465,7.853324
26.387369,15.736889,6.528597
26.504816,15.629777,3.973897
26.60873,15.47889,4.580197
26.70566,15.25655,6.06373
26.730844,15.141694,2.939625
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
27.014231,14.812581,2.171536
26.622931,15.049864,11.440582
26.579168,15.096161,1.59267
27.686752,13.823111,42.1856
27.891659,13.505695,9.445226
27.989269,13.312485,5.411672
28.054777,13.218664,2.860697
28.103622,13.123894,2.665415
28.164461,13.008838,3.253783
28.223124,12.912001,2.830479
28.279121,12.823856,2.610699
28.361513,12.716564,3.381922
28.403028,12.674597,1.475827
28.453405,12.637289,1.567184
28.505032,12.54443,2.656136
28.536924,12.498872,1.390302
28.581434,12.415813,2.355824
28.568266,12.41968,0.343086
28.506683,12.433505,1.577911
28.459145,12.384606,1.70498
28.353048,12.392203,2.659187
28.255943,12.441943,2.727574
28.173037,12.48432,2.327695
28.084019,12.462043,2.294087
28.036436,12.412354,1.719933
27.987045,12.42277,1.261956
27.96876,12.515435,2.361318
27.910475,12.675719,4.263797
27.759436,12.832685,5.445823
27.626507,13.061966,6.625704
27.503897,13.170992,4.101796
27.456196,13.278608,2.942868
27.387747,13.372883,2.912579
27.321321,13.441854,2.393933
27.275515,13.53051,2.494767
27.220211,13.62869,2.817107
27.163574,13.753072,3.416722
27.152954,13.813365,1.530535
27.155058,13.841385,0.702482
27.131235,13.889262,1.336905
27.124231,13.90595,0.452445
27.104528,13.945013,1.093776
27.079189,13.970598,0.900257
27.080164,13.97621,0.142379
27.046396,14.034164,1.676882
27.024603,14.081684,1.306953
27.048367,14.103456,0.805717
27.048613,14.116586,0.328315
27.062628,14.149526,0.894961
27.084015,14.153108,0.542123
27.12011,14.152793,0.902394
27.1343,14.193433,1.07614
27.162943,14.213496,0.874285
27.180113,14.194534,0.639535
27.186338,14.213909,0.508752
27.198626,14.208972,0.331058
27.212614,14.18573,0.678159
27.237986,14.210496,0.886372
27.235912,14.222239,0.298096
27.246775,14.222777,0.271894
27.245281,14.222232,0.039745
27.24147,14.220468,0.104987
27.185139,14.229411,1.425938
27.180119,14.223718,0.18974
27.1199,14.24636,1.608404
27.118301,14.242566,0.102922
27.113052,14.237988,0.174106
27.085226,14.28837,1.438911
27.086569,14.336402,1.201235
27.06546,14.461902,3.18165
27.044767,14.475554,0.619758
27.026079,14.546996,1.846151
27.017708,14.554926,0.288275
26.986254,14.601136,1.397471
26.961483,14.649791,1.364927
26.935946,14.688084,1.150692
26.904203,14.782904,2.499789
26.880396,14.832884,1.384023
26.840925,14.946047,2.996231
26.828739,15.0315,2.157919
26.798765,15.14181,2.857778
26.776575,15.190616,1.340311
26.736732,15.253138,1.853464
26.739346,15.343427,2.258163
26.645073,15.488921,4.334169
26.601952,15.599588,2.969289
26.570181,15.697432,2.571827
26.521616,15.800745,2.853971
26.480743,15.91553,3.046111
26.438911,16.028158,3.003655
26.44195,16.073179,1.128072
26.420488,16.180851,2.744771
26.39311,16.300858,3.077224
26.388725,16.478552,4.443712
26.393484,16.574261,2.395681
26.394135,16.687195,2.823388
26.383356,16.78763,2.525302
26.386629,16.845919,1.459508
26.383121,16.966745,3.02197
26.376055,17.044521,1.952383
26.386393,17.099173,1.390515
26.389221,17.148636,1.238602
26.41814,17.18622,1.185566
26.415827,17.231028,1.121697
26.446257,17.275261,1.342254
26.466675,17.347656,1.880472
26.534937,17.435205,2.775403
26.579351,17.503729,2.041447
26.6087,17.52195,0.863657
26.655722,17.62771,2.893545
26.675936,17.682869,1.468655
26.715679,17.794468,2.961606
26.748777,17.870823,2.080489
26.793139,17.992083,3.22799
26.805103,18.067022,1.897231
26.823652,18.13212,1.692203
26.862101,18.192272,1.784797
26.876263,18.361166,4.237126
26.941425,18.54393,4.850838
26.978865,18.674454,3.394679
26.988689,18.782585,2.714419
27.011744,18.851578,1.81857
27.023655,18.97123,3.006092
27.027119,19.089899,2.967975
27.006798,19.182404,2.36778
26.973272,19.242046,1.710486
26.952631,19.296646,1.459245
26.933315,19.36841,1.85797
26.879208,19.522936,4.093123
26.880331,19.595785,1.821474
26.87035,19.682169,2.173955
26.856695,19.76507,2.100445
26.840111,19.90204,3.449253
26.823503,19.961088,1.53346
26.743437,20.062492,3.230114
26.813807,20.059261,1.761107
26.798399,20.136543,1.97008
26.777582,20.172489,1.03846
26.769291,20.229271,1.434584
26.756691,20.295174,1.677407
26.732615,20.325312,0.964356
26.727276,20.395041,1.748359
26.702196,20.448326,1.472307
26.710732,20.45874,0.336641
26.685286,20.5301,1.894027
26.684835,20.545443,0.383725
26.686481,20.619963,1.86342
26.710766,20.648724,0.941043
26.765139,20.704037,1.939103
26.89279,20.797026,3.948219
26.959795,20.959919,4.403389
27.022501,21.15699,5.170156
27.050453,21.27482,3.027512
27.082827,21.420013,3.718982
27.118967,21.54126,3.162949
27.163509,21.670336,3.413628
27.18038,21.755072,2.15999
27.220034,21.822323,1.951804
27.254431,21.863024,1.332199
27.31419,21.921513,2.090454
27.364166,21.97053,1.750105
27.376442,21.971794,0.308503
27.424669,22.049335,2.282878
27.467314,22.108358,1.820407
27.516987,22.19684,2.536808
27.596928,22.259275,2.535806
27.644251,22.355515,2.681139
27.673769,22.451576,2.512354
27.68071,22.557953,2.665059
27.692514,22.64514,2.19957
27.706686,22.713003,1.733187
27.825691,22.904364,5.633681
27.919992,23.093912,5.292754
28.019405,23.274521,5.154055
28.128952,23.476391,5.741954
28.150885,23.581257,2.678371
28.235737,23.775192,5.292131
28.278687,23.893291,3.141655
28.315823,23.991959,2.635619
28.366163,24.146725,4.068677
28.452471,24.257195,3.504703
28.52302,24.322239,2.398962
28.703598,24.496832,6.279449
28.870852,24.713156,6.836052
29.031378,24.922743,6.599941
29.14798,25.060434,4.51078
29.28076,25.25399,5.86806
